SPA17,METTL14,
ZNF623,SUMO1,
DUS4L,CYP11A1,
NUDT1,METTL6,
ACER3,PARP9,
PXYLP1,UGT1A1,
RPS6KC1,C6orf120,
SCAMP3,DTWD1,
YEATS2,GFPT2,
RBM3,WBSCR22,
FAM149B1,TUBB1,
CLIC1,CYP1B1,
POLA1,ZNF594,
DDX59,RAC3,
PNMA1,PNP,
KDM5B,ND6,
SAYSD1,FZD1,
FOXK1,DNAJC24,
MPV17,PITX1,
POLQ,ORC2,
MAP3K9,FCGR1CP,
ACOT8,SIK2,
NCAPH,SH3BP5L,
KPNA4,KLHDC7B,
COA6,FXR1,
NCAPD2,RSPRY1,
CCSAP,ZNF148,
APH1A,PLD1,
PPP1R9A,PLA2G4A,
MMP11,ARL10,
YWHAZ,RABIF,
BOLA2B,MBLAC2,
MPHOSPH9,YBEY,
C6orf48,MTG2,
ASCC3,CLCC1,
PDCD2L,LIX1L,
PNO1,ERVK3-1,
G2E3,GIT2,
ISG20L2,SNX2,
MAP3K13,MED8,
PFKFB2,STK38,
GINS2,SNAPC2,
SAAL1,SLFN5,
PCNA,SLC35D3,
BRAF,NPL,
AGO2,C19orf12,
CPSF6,PPHLN1,
HEY1,FKBP15,
CDCA8,NAA30,
RMI2,MSR1,
CCT5,SAMD9L,
MYO5C,POLR1B,
FLAD1,PADI2,
PRPF4B,NUP214,
C4orf46,ZNF616,
MCM5,CSTF2T,
FBLIM1,ZNF614,
UBFD1,FAM13A-AS1,
MRPL9,ZNF641,
TRMT6,NDUFAF3,
PFDN4,IRF2,
SLC25A40,GPBP1,
MTMR2,IKBIP,
NDC1,ACP2,
FBXO3,FCGR1B,
RAD51,LOC101930476,
TBL1XR1,KDSR,
BCOR,DET1,
ACBD6,YWHAG,
COMMD8,KLHL6,
TMEM209,TCN2,
TRAM1L1,SLC30A6,
FDPS,ZADH2,
COX20,RRAS2,
KIAA0196,SMIM5,
YEATS4,MIR146A,
LARP4B,YAE1D1,
MIR1248,TFPI,
DNM1L,IQGAP2,
SSR1,PLAG1,
ZSCAN16,RAB11FIP1,
SLC25A43,ZNF248,
GMCL1P1,VGLL4,
ARPP19,INTS5,
ZNF600,NHLRC3,
STAMBPL1,ERP44,
HSPA4,PSIP1,
GTF2H2C,CD79B,
HSPA13,ZFAND4,
HIKESHI,NUDT16,
AIFM2,PLRG1,
MIR6756,PAFAH1B1,
PRKCI,PCED1B,
LCOR,PLEKHF1,
FAM216A,HTR7,
BUB3,THAP5,
GTF2IRD1,LRPAP1,
ZEB1-AS1,ZNF557,
GBP2,NCOR2,
NOL7,GOSR1,
AGFG1,CRYGS,
STAM,RAB27B,
NEDD4L,PEX6,
UBE2D1,UBASH3B,
HSPE1-MOB4,MIR3671,
C17orf75,TRMT13,
CCT2,BEX3,
TREM2,TMEM184C,
CRTAP,NME3,
LOC286052,TMTC3,
BPGM,SREK1IP1,
HIST1H3E,TLR1,
P4HA2,SERAC1,
ACLY,DNAJC15,
TROAP,GCNT1,
AZIN1,ANKRD1,
LOC81691,C1GALT1C1,
SNORA17B,FBXL4,
LOC158402,TECPR2,
ZKSCAN5,NF1P9,
RAD18,WDR4,
TP53I3,GOSR2,
ZBED4,USP31,
CD2AP,AGPAT3,
EFNA4,C20orf197,
MRE11A,RAD52,
BEND3,SHQ1,
PARP12,DNM3,
MCAM,PHKA1,
ANGEL2,INIP,
ERCC8,ATG7,
DDX49,CD163,
GLRX3,P2RY1,
CEP128,AATBC,
LINC01138,FBXL17,
DSN1,APH1B,
NUP160,MYL6B,
CAPRIN1,CRLS1,
CCDC134,RNF219,
EXOC2,PPP1R3D,
TFRC,TMEM200A,
GPR137C,ENTPD4,
DNAJB11,HIF1AN,
MITD1,INHBA,
FAM83H,GPALPP1,
CBX1,PPARA,
CASK,ENOX2,
NPAS2,SCEL,
THOC2,ZNF585B,
ZNF143,CD44,
NBPF20,TMEM216,
8-Sep,PPP4R2,
LOC101928589,MON1B,
ASAP1,MRFAP1L1,
PIGF,ACSL6,
XPO5,SKP2,
DTD2,NDUFAF7,
POGK,TMEM64,
VAMP4,TMEM185A,
ZNF473,IRAK3,
STAU2,LINC00909,
UBQLN4,GPR68,
RNASE1,RAB10,
GNS,MGA,
OSTM1,ARL13B,
P2RX4,SKI,
AACS,TRIM58,
PARD3B,NIPAL3,
MIR6834,GABBR2,
RIOK1,H1FX,
LOC100506844,PGM2,
CDC73,CCDC142,
VPS45,SYNRG,
ARFGEF1,SAP30BP,
SVIP,ZNF542P,
BLOC1S4,TRIM68,
RUSC1,COG6,
CD46,RNF141,
TWF1,AP4E1,
KIAA1586,UBE2L3,
DARS2,LOC101927178,
ABI1,SLC46A2,
ZHX1-C8orf76,NLRP12,
HIST1H2AH,GBP3,
NCBP2,EDEM3,
KIAA1524,PRKAR2B,
GRK3,C6orf203,
XPR1,RAD50,
SUB1,TRNT1,
MAPK1,SNTB2,
H2AFV,SLC35B4,
RBBP5,SLC5A3,
RAP2B,ZNF146,
PTTG3P,ZNF12,
ERMP1,FBXW2,
UTP23,DENND2D,
RAN,NFAM1,
CYP2R1,KPNB1,
HMGXB4,ZNF738,
C12orf73,ZNF573,
RPAP3,GDF5,
RRM1,SLC35A3,
MSANTD3-TMEFF1,PTPRCAP,
ALYREF,IRF5,
DTD1,NIF3L1,
KCNJ5,TNFRSF4,
ABL2,ZNF366,
DZIP3,FBXL20,
ARL6IP6,TLR5,
DR1,ZNF606,
BTBD3,LOC102723694,
LOC646762,STATH,
RAC1,PARVB,
MSH5-SAPCD1,ATPAF1,
DNA2,EDC3,
COL4A2,NFE2L1,
TOPBP1,CFLAR,
SNORA16A,PBX3,
SKA2,HN1L,
FAM208A,DEFA6,
TMEM74,TRIM27,
HNRNPU,MFAP1,
RNF8,FBXO30,
DONSON,NATD1,
ESF1,UBQLN2,
ZSCAN31,HCCS,
PPOX,SENP6,
TPD52,CALHM2,
CBFA2T3,RNF34,
SDC1,TRIM69,
STARD5,GPR132,
FXYD6,FAM114A2,
GAS6-AS1,CHAMP1,
PNPO,PCGF3,
GNAO1,MRPL50,
LARP1B,CCDC97,
ANKRD37,NAIP,
C21orf33,AKAP10,
MPC1,LINC00968,
TNS2,AP2B1,
LEPROT,ZNF2,
SLCO2B1,ASPHD2,
CCBE1,ERCC6L2,
GOT1,STX7,
NUDT6,MRPL27,
CP,FAM200B,
ZFP36,TXLNA,
ALDH4A1,C1orf131,
NSUN6,MIR4321,
SLC23A2,MRPS28,
GLOD5,BIRC3,
MGMT,EXOC5,
MPPED1,MORC2,
ABCA8,POLD3,
PTMS,FYCO1,
ALLC,PDGFA,
FNDC5,TYMS,
PGM1,SON,
PAPSS2,ZNF44,
PTPRB,DCTN5,
MUC6,LFNG,
HAGH,C12orf4,
DPF3,TMEM144,
CLCN5,KIF25,
IL18R1,ZNF780B,
SRD5A1,TTC7B,
AMT,PAX8,
DACH1,C6orf163,
LOC100507577,C11orf54,
CMBL,TMOD2,
GREM2,RFT1,
CAT,NNT-AS1,
QDPR,MR1,
KCNK5,VEZT,
TSKU,PYM1,
ADGRG6,SLAMF7,
ABHD14B,TDRP,
ABCG8,CASP8AP2,
KIAA0922,TPM1,
CD81,PRDM1,
ADHFE1,TRANK1,
RASSF8-AS1,TXN,
ACAA2,PTPN18,
TFPI2,GPR155,
STOM,INTS10,
APCS,MEF2C,
ADI1,MMD,
C16orf46,DDX23,
CTSO,MBTPS2,
PINK1,TAF13,
ART4,IL6R,
COPZ2,MRPL46,
PTN,LOC100133315,
ORM1,TMEM39A,
EPB41L4B,HTR2B,
CCL23,NFYC,
SUOX,TMEM35B,
ENG,GPA33,
CAMK2B,MRPL35,
C1orf162,ZNF397,
TNXB,VPS33A,
GADD45A,ZC3HC1,
FGF14-AS2,THAP1,
OAF,KIAA0907,
CYP4F11,AP5M1,
NAAA,CSTF3,
RDH12,PLEKHA6,
CD14,ZFYVE21,
SLITRK6,APTX,
FYN,PSEN1,
NNMT,TSC22D1,
CCDC25,ZNF431,
PDE2A,SLC16A1,
CLYBL,GPR180,
PCCA,ZNF30,
IVD,ACTA2,
SLC37A4,BTLA,
ASGR2,APCDD1,
ASL,TMEM19,
SLC44A1,TOR1AIP2,
RNF125,TMEM33,
GNA14,AGPAT5,
SCARA5,VPS13D,
BCKDHB,ZC3H8,
ORM2,PARS2,
CYP3A5,FLVCR2,
NGFR,C12orf76,
MTHFD1,CARD8-AS1,
C1orf168,CTPS1,
MYCT1,ELP2,
NKX3-1,ZNF404,
FAHD2A,THAP2,
LPAL2,POC5,
LDB2,ZNF133,
CCND1,SF3B3,
DTX1,KLHL8,
FAM229B,ARMT1,
HAAO,AGFG2,
A2M-AS1,PDXK,
APOH,GPSM3,
LOC105378749,POMP,
CPT2,MED17,
NAPSB,SLC2A13,
ACADVL,MSANTD4,
CHRD,RRS1,
TGFBR3,CDC42EP3,
KLRF1,TRIM14,
ACVR1C,BTN3A2,
CYP3A43,APPBP2,
PRODH2,PRPF38A,
HMGCL,PACRGL,
VMO1,LEO1,
LOC100653086,FOXJ2,
LILRB5,DYNC1I2,
CRYL1,LUC7L3,
SLC25A27,PLD2,
SHMT1,SLC25A19,
KCNJ8,LOC101927933,
SIAE,PSMD12,
FITM1,ALG2,
PTGR1,INSR,
KDM4C,LOC339803,
DNAJC22,MFSD6,
HADH,WRB,
KAZN,KPNA1,
MAD1L1,SLAIN2,
CHST7,XRCC5,
PROC,PPAN-P2RY11,
TM6SF2,PPP3R1,
CYGB,FBXO8,
C8orf46,FASTKD1,
SFRP1,SMAD5,
GLYCTK,PAWR,
KCND3,HSPA6,
PSD3,ARMCX3,
ABCA9,METTL4,
CFH,SLC16A7,
SIGLEC11,FNBP1L,
GPR182,RBM47,
ECM2,RNF170,
APOC3,SART3,
RAB17,PHF23,
ST3GAL6,ALKBH8,
ACSL1,OSGEPL1,
CFD,STT3A,
SLC25A20,CFHR5,
RAB11B-AS1,NCOR1,
C14orf105,TOR1AIP1,
SLC35D1,SFT2D3,
SLX1B-SULT1A4,RAB22A,
NR1I2,UBN2,
SIGIRR,PHBP19,
ATP11C,NPFF,
DHRS1,HACD3,
SERPING1,RGS14,
SDS,KIAA0930,
SLC6A16,PIK3R3,
CYP4V2,POU4F2,
ENTPD5,LINC01410,
RND3,MGC40069,
DBH,LOC101927402,
GABRB3,HNMT,
NUDT7,FZD2,
